Nr	Name	No_of_Customers	No_of_Items	Time_Windows
962	0962_BED-Amazon_n154_m234_bt24	154	234	0
963	0963_BED-Amazon_n175_m254_bt31	175	254	0
964	0964_BED-Amazon_n184_m259_bt30	184	259	0
965	0965_BED-Amazon_n127_m218_bt30	127	218	0
966	0966_BED-Amazon_n118_m251_bt36	118	251	0
967	0967_BED-Amazon_n151_m241_bt41	151	241	0
968	0968_BED-Amazon_n102_m193_bt29	102	193	0
969	0969_BED-Amazon_n153_m249_bt34	153	249	0
970	0970_BED-Amazon_n139_m255_bt27	139	255	0
971	0971_BED-Amazon_n120_m212_bt29	120	212	0
972	0972_BED-Amazon_n119_m204_bt31	119	204	0
973	0973_BED-Amazon_n69_m172_bt32	69	172	0
974	0974_BED-Amazon_n134_m257_bt36	134	257	0
975	0975_BED-Amazon_n158_m249_bt26	158	249	0
976	0976_BED-Amazon_n169_m264_bt33	169	264	0
977	0977_BED-Amazon_n160_m226_bt22	160	226	0
978	0978_BED-Amazon_n116_m227_bt25	116	227	0
979	0979_BED-Amazon_n193_m267_bt32	193	267	0
980	0980_BED-Amazon_n161_m256_bt34	161	256	0
981	0981_BED-Amazon_n177_m299_bt38	177	299	0
982	0982_BED-Amazon_n125_m195_bt32	125	195	0
983	0983_BED-Amazon_n147_m258_bt42	147	258	0
984	0984_BED-Amazon_n152_m234_bt28	152	234	0
985	0985_BED-Amazon_n73_m201_bt38	73	201	0
986	0986_BED-Amazon_n95_m205_bt36	95	205	0
987	0987_BED-Amazon_n108_m255_bt30	108	255	0
988	0988_BED-Amazon_n200_m286_bt26	200	286	0
989	0989_BED-Amazon_n173_m275_bt34	173	275	0
990	0990_BED-Amazon_n179_m240_bt30	179	240	0
991	0991_BED-Amazon_n110_m282_bt35	110	282	0
992	0992_BED-Amazon_n148_m186_bt32	148	186	0
993	0993_BED-Amazon_n156_m233_bt25	156	233	0
994	0994_BED-Amazon_n151_m209_bt24	151	209	0
995	0995_BED-Amazon_n156_m268_bt31	156	268	0
996	0996_BED-Amazon_n170_m295_bt38	170	295	0
997	0997_BED-Amazon_n178_m238_bt28	178	238	0
998	0998_BED-Amazon_n139_m276_bt38	139	276	0
999	0999_BED-Amazon_n163_m240_bt30	163	240	0
1000	1000_BED-Amazon_n122_m173_bt26	122	173	0
1001	1001_BED-Amazon_n102_m237_bt27	102	237	0
1002	1002_BED-Amazon_n120_m190_bt36	120	190	0
1003	1003_BED-Amazon_n104_m185_bt26	104	185	0
1004	1004_BED-Amazon_n127_m232_bt35	127	232	0
1005	1005_BED-Amazon_n127_m215_bt26	127	215	0
1006	1006_BED-Amazon_n133_m260_bt30	133	260	0
1007	1007_BED-Amazon_n162_m275_bt34	162	275	0
1008	1008_BED-Amazon_n131_m245_bt43	131	245	0
1009	1009_BED-Amazon_n136_m220_bt31	136	220	0
1010	1010_BED-Amazon_n197_m272_bt26	197	272	0
1011	1011_BED-Amazon_n150_m214_bt27	150	214	0
1012	1012_BED-Amazon_n154_m282_bt37	154	282	0
1013	1013_BED-Amazon_n95_m186_bt25	95	186	0
1014	1014_BED-Amazon_n177_m256_bt38	177	256	0
1015	1015_BED-Amazon_n188_m263_bt29	188	263	0
1016	1016_BED-Amazon_n160_m198_bt29	160	198	0
1017	1017_BED-Amazon_n191_m262_bt37	191	262	0
1018	1018_BED-Amazon_n120_m164_bt24	120	164	0
1019	1019_BED-Amazon_n156_m219_bt28	156	219	0
1020	1020_BED-Amazon_n157_m237_bt32	157	237	0
1021	1021_BED-Amazon_n146_m226_bt34	146	226	0
1022	1022_BED-Amazon_n151_m212_bt30	151	212	0
1023	1023_BED-Amazon_n94_m174_bt30	94	174	0
1024	1024_BED-Amazon_n144_m204_bt23	144	204	0
1025	1025_BED-Amazon_n111_m262_bt33	111	262	0
1026	1026_BED-Amazon_n178_m262_bt43	178	262	0
1027	1027_BED-Amazon_n171_m244_bt30	171	244	0
1028	1028_BED-Amazon_n129_m234_bt36	129	234	0
1029	1029_BED-Amazon_n77_m273_bt34	77	273	0
1030	1030_BED-Amazon_n184_m293_bt36	184	293	0
1031	1031_BED-Amazon_n168_m245_bt28	168	245	0
1032	1032_BED-Amazon_n132_m167_bt23	132	167	0
1033	1033_BED-Amazon_n162_m214_bt23	162	214	0
1034	1034_BED-Amazon_n176_m272_bt32	176	272	0
1035	1035_BED-Amazon_n184_m272_bt35	184	272	0
1036	1036_BED-Amazon_n143_m273_bt33	143	273	0
1037	1037_BED-Amazon_n138_m244_bt34	138	244	0
1038	1038_BED-Amazon_n181_m281_bt35	181	281	0
1039	1039_BED-Amazon_n85_m184_bt31	85	184	0
1040	1040_BED-Amazon_n167_m216_bt33	167	216	0
1041	1041_BED-Amazon_n107_m226_bt35	107	226	0
1042	1042_BED-Amazon_n178_m263_bt42	178	263	0
1043	1043_BED-Amazon_n169_m240_bt34	169	240	0
1044	1044_BED-Amazon_n131_m277_bt38	131	277	0
1045	1045_BED-Amazon_n150_m253_bt33	150	253	0
1046	1046_BED-Amazon_n104_m199_bt31	104	199	0
1047	1047_BED-Amazon_n134_m255_bt33	134	255	0
1048	1048_BED-Amazon_n175_m270_bt33	175	270	0
1049	1049_BED-Amazon_n158_m206_bt28	158	206	0
1050	1050_BED-Amazon_n167_m274_bt29	167	274	0
1051	1051_BED-Amazon_n155_m267_bt36	155	267	0
1052	1052_BED-Amazon_n125_m209_bt31	125	209	0
1053	1053_BED-Amazon_n171_m236_bt32	171	236	0
1054	1054_BED-Amazon_n176_m268_bt33	176	268	0
1055	1055_BED-Amazon_n184_m242_bt36	184	242	0
1056	1056_BED-Amazon_n184_m238_bt34	184	238	0
1057	1057_BED-Amazon_n165_m221_bt25	165	221	0
1058	1058_BED-Amazon_n109_m211_bt31	109	211	0
1059	1059_BED-Amazon_n145_m212_bt23	145	212	0
1060	1060_BED-Amazon_n166_m219_bt26	166	219	0
1061	1061_BED-Amazon_n172_m265_bt37	172	265	0
1062	1062_BED-Amazon_n125_m259_bt31	125	259	0
1063	1063_BED-Amazon_n109_m242_bt32	109	242	0
1064	1064_BED-Amazon_n152_m243_bt31	152	243	0
1065	1065_BED-Amazon_n82_m183_bt24	82	183	0
1066	1066_BED-Amazon_n140_m231_bt31	140	231	0
1067	1067_BED-Amazon_n93_m207_bt25	93	207	0
1068	1068_BED-Amazon_n136_m274_bt35	136	274	0
1069	1069_BED-Amazon_n172_m225_bt32	172	225	0
1070	1070_BED-Amazon_n96_m194_bt28	96	194	0
1071	1071_BED-Amazon_n188_m277_bt30	188	277	0
1072	1072_BED-Amazon_n149_m221_bt29	149	221	0
1073	1073_BED-Amazon_n174_m249_bt37	174	249	0
1074	1074_BED-Amazon_n135_m240_bt34	135	240	0
1075	1075_BED-Amazon_n115_m248_bt27	115	248	0
1076	1076_BED-Amazon_n115_m286_bt28	115	286	0
1077	1077_BED-Amazon_n108_m241_bt35	108	241	0
1078	1078_BED-Amazon_n130_m176_bt33	130	176	0
1079	1079_BED-Amazon_n135_m228_bt29	135	228	0
1080	1080_BED-Amazon_n74_m246_bt45	74	246	0
1081	1081_BED-Amazon_n162_m242_bt31	162	242	0
1082	1082_BED-Amazon_n128_m255_bt30	128	255	0
1083	1083_BED-Amazon_n118_m170_bt22	118	170	0
1084	1084_BED-Amazon_n91_m192_bt27	91	192	0
1085	1085_BED-Amazon_n106_m200_bt30	106	200	0
1086	1086_BED-Amazon_n177_m245_bt35	177	245	0
1087	1087_BED-Amazon_n101_m213_bt32	101	213	0
1088	1088_BED-Amazon_n161_m203_bt35	161	203	0
1089	1089_BED-Amazon_n167_m286_bt30	167	286	0
1090	1090_BED-Amazon_n129_m215_bt27	129	215	0
1091	1091_BED-Amazon_n83_m188_bt30	83	188	0
1092	1092_BED-Amazon_n149_m268_bt28	149	268	0
1093	1093_BED-Amazon_n185_m287_bt31	185	287	0
1094	1094_BED-Amazon_n161_m255_bt45	161	255	0
1095	1095_BED-Amazon_n158_m245_bt36	158	245	0
1096	1096_BED-Amazon_n119_m194_bt32	119	194	0
1097	1097_BED-Amazon_n131_m284_bt36	131	284	0
1098	1098_BED-Amazon_n171_m271_bt36	171	271	0
1099	1099_BED-Amazon_n174_m277_bt34	174	277	0
1100	1100_BED-Amazon_n125_m267_bt29	125	267	0
1101	1101_BED-Amazon_n159_m244_bt24	159	244	0
1102	1102_BED-Amazon_n118_m224_bt26	118	224	0
1103	1103_BED-Amazon_n161_m279_bt33	161	279	0
1104	1104_BED-Amazon_n217_m291_bt32	217	291	0
1105	1105_BED-Amazon_n151_m232_bt23	151	232	0
1106	1106_BED-Amazon_n105_m249_bt28	105	249	0
1107	1107_BED-Amazon_n110_m287_bt30	110	287	0
1108	1108_BED-Amazon_n154_m265_bt31	154	265	0
1109	1109_BED-Amazon_n137_m197_bt23	137	197	0
1110	1110_BED-Amazon_n122_m199_bt29	122	199	0
1111	1111_BED-Amazon_n144_m266_bt34	144	266	0
1112	1112_BED-Amazon_n153_m280_bt37	153	280	0
1113	1113_BED-Amazon_n176_m296_bt37	176	296	0
1114	1114_BED-Amazon_n92_m213_bt33	92	213	0
1115	1115_BED-Amazon_n74_m221_bt24	74	221	0
1116	1116_BED-Amazon_n166_m247_bt28	166	247	0
1117	1117_BED-Amazon_n100_m170_bt22	100	170	0
1118	1118_BED-Amazon_n95_m288_bt32	95	288	0
1119	1119_BED-Amazon_n191_m263_bt34	191	263	0
1120	1120_BED-Amazon_n88_m209_bt35	88	209	0
1121	1121_BED-Amazon_n133_m196_bt29	133	196	0
1122	1122_BED-Amazon_n173_m237_bt28	173	237	0
1123	1123_BED-Amazon_n139_m235_bt29	139	235	0
1124	1124_BED-Amazon_n164_m247_bt30	164	247	0
1125	1125_BED-Amazon_n154_m212_bt32	154	212	0
1126	1126_BED-Amazon_n197_m271_bt32	197	271	0
1127	1127_BED-Amazon_n163_m257_bt38	163	257	0
1128	1128_BED-Amazon_n105_m222_bt29	105	222	0
1129	1129_BED-Amazon_n103_m214_bt40	103	214	0
1130	1130_BED-Amazon_n71_m175_bt24	71	175	0
1131	1131_BED-Amazon_n180_m276_bt34	180	276	0
1132	1132_BED-Amazon_n88_m284_bt30	88	284	0
1133	1133_BED-Amazon_n103_m170_bt25	103	170	0
1134	1134_BED-Amazon_n101_m163_bt31	101	163	0
1135	1135_BED-Amazon_n144_m200_bt26	144	200	0
1136	1136_BED-Amazon_n138_m216_bt23	138	216	0
1137	1137_BED-Amazon_n175_m267_bt31	175	267	0
1138	1138_BED-Amazon_n140_m264_bt29	140	264	0
1139	1139_BED-Amazon_n106_m195_bt36	106	195	0
1140	1140_BED-Amazon_n127_m167_bt25	127	167	0
1141	1141_BED-Amazon_n151_m285_bt35	151	285	0
1142	1142_BED-Amazon_n110_m217_bt36	110	217	0
1143	1143_BED-Amazon_n178_m252_bt36	178	252	0
1144	1144_BED-Amazon_n63_m185_bt27	63	185	0
1145	1145_BED-Amazon_n118_m242_bt31	118	242	0
1146	1146_BED-Amazon_n178_m260_bt32	178	260	0
1147	1147_BED-Amazon_n119_m207_bt27	119	207	0
1148	1148_BED-Amazon_n192_m270_bt31	192	270	0
1149	1149_BED-Amazon_n132_m218_bt33	132	218	0
1150	1150_BED-Amazon_n162_m227_bt35	162	227	0
1151	1151_BED-Amazon_n89_m222_bt30	89	222	0
1152	1152_BED-Amazon_n166_m279_bt28	166	279	0
1153	1153_BED-Amazon_n141_m204_bt32	141	204	0
1154	1154_BED-Amazon_n94_m214_bt36	94	214	0
1155	1155_BED-Amazon_n136_m189_bt28	136	189	0
1156	1156_BED-Amazon_n124_m262_bt34	124	262	0
1157	1157_BED-Amazon_n141_m244_bt35	141	244	0
1158	1158_BED-Amazon_n149_m217_bt24	149	217	0
1159	1159_BED-Amazon_n86_m162_bt24	86	162	0
1160	1160_BED-Amazon_n141_m267_bt26	141	267	0
1161	1161_BED-Amazon_n138_m259_bt28	138	259	0
1162	1162_BED-Amazon_n154_m252_bt34	154	252	0
1163	1163_BED-Amazon_n127_m254_bt31	127	254	0
1164	1164_BED-Amazon_n84_m247_bt36	84	247	0
1165	1165_BED-Amazon_n195_m259_bt26	195	259	0
1166	1166_BED-Amazon_n100_m258_bt28	100	258	0
1167	1167_BED-Amazon_n126_m161_bt32	126	161	0
1168	1168_BED-Amazon_n142_m265_bt29	142	265	0
1169	1169_BED-Amazon_n111_m192_bt30	111	192	0
1170	1170_BED-Amazon_n120_m194_bt28	120	194	0
1171	1171_BED-Amazon_n134_m223_bt37	134	223	0
1172	1172_BED-Amazon_n155_m195_bt23	155	195	0
1173	1173_BED-Amazon_n160_m269_bt33	160	269	0
1174	1174_BED-Amazon_n77_m191_bt25	77	191	0
1175	1175_BED-Amazon_n193_m293_bt34	193	293	0
1176	1176_BED-Amazon_n47_m182_bt37	47	182	0
1177	1177_BED-Amazon_n149_m257_bt29	149	257	0
1178	1178_BED-Amazon_n172_m273_bt34	172	273	0
1179	1179_BED-Amazon_n135_m242_bt32	135	242	0
1180	1180_BED-Amazon_n133_m218_bt30	133	218	0
1181	1181_BED-Amazon_n143_m239_bt31	143	239	0
1182	1182_BED-Amazon_n97_m183_bt27	97	183	0
1183	1183_BED-Amazon_n184_m277_bt33	184	277	0
1184	1184_BED-Amazon_n79_m236_bt29	79	236	0
1185	1185_BED-Amazon_n134_m224_bt26	134	224	0
1186	1186_BED-Amazon_n74_m221_bt47	74	221	0
1187	1187_BED-Amazon_n205_m279_bt36	205	279	0
1188	1188_BED-Amazon_n149_m237_bt33	149	237	0
1189	1189_BED-Amazon_n117_m192_bt35	117	192	0
1190	1190_BED-Amazon_n124_m218_bt34	124	218	0
1191	1191_BED-Amazon_n155_m274_bt30	155	274	0
1192	1192_BED-Amazon_n114_m209_bt29	114	209	0
1193	1193_BED-Amazon_n90_m202_bt28	90	202	0
1194	1194_BED-Amazon_n192_m273_bt30	192	273	0
1195	1195_BED-Amazon_n134_m192_bt25	134	192	0
1196	1196_BED-Amazon_n163_m229_bt29	163	229	0
1197	1197_BED-Amazon_n154_m239_bt41	154	239	0
1198	1198_BED-Amazon_n136_m184_bt30	136	184	0
1199	1199_BED-Amazon_n91_m194_bt29	91	194	0
1200	1200_BED-Amazon_n175_m271_bt34	175	271	0
1201	1201_BED-Amazon_n117_m212_bt32	117	212	0
1202	1202_BED-Amazon_n121_m205_bt33	121	205	0
1203	1203_BED-Amazon_n135_m278_bt29	135	278	0
1204	1204_BED-Amazon_n89_m219_bt44	89	219	0
1205	1205_BED-Amazon_n169_m293_bt46	169	293	0
1206	1206_BED-Amazon_n97_m236_bt24	97	236	0
1207	1207_BED-Amazon_n135_m231_bt32	135	231	0
1208	1208_BED-Amazon_n106_m172_bt30	106	172	0
1209	1209_BED-Amazon_n158_m254_bt25	158	254	0
1210	1210_BED-Amazon_n176_m248_bt26	176	248	0
1211	1211_BED-Amazon_n149_m211_bt26	149	211	0
1212	1212_BED-Amazon_n153_m212_bt32	153	212	0
1213	1213_BED-Amazon_n182_m281_bt34	182	281	0
1214	1214_BED-Amazon_n169_m252_bt34	169	252	0
1215	1215_BED-Amazon_n129_m188_bt23	129	188	0
1216	1216_BED-Amazon_n149_m235_bt20	149	235	0
1217	1217_BED-Amazon_n203_m248_bt30	203	248	0
1218	1218_BED-Amazon_n153_m225_bt32	153	225	0
1219	1219_BED-Amazon_n138_m246_bt29	138	246	0
1220	1220_BED-Amazon_n142_m225_bt38	142	225	0
1221	1221_BED-Amazon_n89_m257_bt25	89	257	0
1222	1222_BED-Amazon_n180_m299_bt31	180	299	0
1223	1223_BED-Amazon_n149_m253_bt27	149	253	0
1224	1224_BED-Amazon_n119_m248_bt31	119	248	0
1225	1225_BED-Amazon_n171_m293_bt33	171	293	0
1226	1226_BED-Amazon_n122_m243_bt29	122	243	0
1227	1227_BED-Amazon_n173_m269_bt30	173	269	0
1228	1228_BED-Amazon_n154_m230_bt28	154	230	0
1229	1229_BED-Amazon_n148_m259_bt36	148	259	0
1230	1230_BED-Amazon_n185_m259_bt36	185	259	0
1231	1231_BED-Amazon_n178_m251_bt36	178	251	0
1232	1232_BED-Amazon_n100_m182_bt32	100	182	0
1233	1233_BED-Amazon_n178_m269_bt32	178	269	0
1234	1234_BED-Amazon_n175_m274_bt30	175	274	0
1235	1235_BED-Amazon_n134_m233_bt28	134	233	0
1236	1236_BED-Amazon_n141_m220_bt39	141	220	0
1237	1237_BED-Amazon_n131_m218_bt26	131	218	0
1238	1238_BED-Amazon_n109_m202_bt29	109	202	0
1239	1239_BED-Amazon_n129_m236_bt28	129	236	0
1240	1240_BED-Amazon_n180_m253_bt35	180	253	0
1241	1241_BED-Amazon_n104_m262_bt33	104	262	0
1242	1242_BED-Amazon_n49_m177_bt31	49	177	0
1243	1243_BED-Amazon_n109_m278_bt35	109	278	0
1244	1244_BED-Amazon_n180_m267_bt34	180	267	0
1245	1245_BED-Amazon_n135_m220_bt25	135	220	0
1246	1246_BED-Amazon_n153_m228_bt25	153	228	0
1247	1247_BED-Amazon_n151_m225_bt39	151	225	0
1248	1248_BED-Amazon_n126_m233_bt30	126	233	0
1249	1249_BED-Amazon_n117_m269_bt40	117	269	0
1250	1250_BED-Amazon_n98_m205_bt40	98	205	0
1251	1251_BED-Amazon_n164_m271_bt32	164	271	0
1252	1252_BED-Amazon_n154_m213_bt34	154	213	0
1253	1253_BED-Amazon_n176_m248_bt27	176	248	0
1254	1254_BED-Amazon_n187_m274_bt31	187	274	0
1255	1255_BED-Amazon_n173_m246_bt31	173	246	0
1256	1256_BED-Amazon_n104_m198_bt28	104	198	0
1257	1257_BED-Amazon_n143_m234_bt33	143	234	0
1258	1258_BED-Amazon_n176_m279_bt26	176	279	0
1259	1259_BED-Amazon_n86_m193_bt34	86	193	0
1260	1260_BED-Amazon_n118_m269_bt36	118	269	0
1261	1261_BED-Amazon_n139_m174_bt26	139	174	0
1262	1262_BED-Amazon_n189_m260_bt27	189	260	0
1263	1263_BED-Amazon_n112_m243_bt37	112	243	0
1264	1264_BED-Amazon_n172_m256_bt28	172	256	0
1265	1265_BED-Amazon_n147_m241_bt28	147	241	0
1266	1266_BED-Amazon_n154_m202_bt27	154	202	0
1267	1267_BED-Amazon_n165_m227_bt33	165	227	0
1268	1268_BED-Amazon_n174_m270_bt28	174	270	0
1269	1269_BED-Amazon_n101_m217_bt24	101	217	0
1270	1270_BED-Amazon_n126_m185_bt33	126	185	0
1271	1271_BED-Amazon_n140_m234_bt32	140	234	0
1272	1272_BED-Amazon_n128_m189_bt34	128	189	0
1273	1273_BED-Amazon_n115_m168_bt25	115	168	0
1274	1274_BED-Amazon_n108_m254_bt31	108	254	0
1275	1275_BED-Amazon_n90_m191_bt31	90	191	0
1276	1276_BED-Amazon_n145_m240_bt33	145	240	0
1277	1277_BED-Amazon_n147_m245_bt33	147	245	0
1278	1278_BED-Amazon_n144_m195_bt23	144	195	0
1279	1279_BED-Amazon_n72_m162_bt23	72	162	0
1280	1280_BED-Amazon_n121_m267_bt28	121	267	0
1281	1281_BED-Amazon_n190_m257_bt33	190	257	0
1282	1282_BED-Amazon_n136_m189_bt28	136	189	0
1283	1283_BED-Amazon_n163_m285_bt30	163	285	0
1284	1284_BED-Amazon_n119_m257_bt32	119	257	0
1285	1285_BED-Amazon_n87_m163_bt32	87	163	0
1286	1286_BED-Amazon_n136_m191_bt22	136	191	0
1287	1287_BED-Amazon_n112_m239_bt29	112	239	0
1288	1288_BED-Amazon_n138_m285_bt29	138	285	0
1289	1289_BED-Amazon_n166_m251_bt38	166	251	0
1290	1290_BED-Amazon_n178_m236_bt31	178	236	0
1291	1291_BED-Amazon_n192_m268_bt28	192	268	0
1292	1292_BED-Amazon_n165_m282_bt23	165	282	0
1293	1293_BED-Amazon_n165_m236_bt39	165	236	0
1294	1294_BED-Amazon_n72_m287_bt29	72	287	0
1295	1295_BED-Amazon_n107_m240_bt34	107	240	0
1296	1296_BED-Amazon_n132_m206_bt32	132	206	0
1297	1297_BED-Amazon_n99_m192_bt28	99	192	0
1298	1298_BED-Amazon_n84_m218_bt27	84	218	0
1299	1299_BED-Amazon_n97_m216_bt23	97	216	0
1300	1300_BED-Amazon_n183_m263_bt36	183	263	0
1301	1301_BED-Amazon_n85_m185_bt32	85	185	0
1302	1302_BED-Amazon_n145_m205_bt31	145	205	0
1303	1303_BED-Amazon_n105_m213_bt39	105	213	0
1304	1304_BED-Amazon_n147_m185_bt30	147	185	0
1305	1305_BED-Amazon_n206_m295_bt38	206	295	0
1306	1306_BED-Amazon_n123_m218_bt33	123	218	0
1307	1307_BED-Amazon_n166_m281_bt38	166	281	0
1308	1308_BED-Amazon_n103_m246_bt31	103	246	0
1309	1309_BED-Amazon_n157_m216_bt35	157	216	0
1310	1310_BED-Amazon_n156_m214_bt36	156	214	0
1311	1311_BED-Amazon_n143_m204_bt31	143	204	0
1312	1312_BED-Amazon_n108_m226_bt44	108	226	0
1313	1313_BED-Amazon_n140_m238_bt35	140	238	0
1314	1314_BED-Amazon_n153_m195_bt31	153	195	0
1315	1315_BED-Amazon_n128_m234_bt34	128	234	0
1316	1316_BED-Amazon_n178_m240_bt35	178	240	0
1317	1317_BED-Amazon_n144_m255_bt35	144	255	0
1318	1318_BED-Amazon_n181_m247_bt28	181	247	0
1319	1319_BED-Amazon_n172_m229_bt28	172	229	0
1320	1320_BED-Amazon_n147_m196_bt33	147	196	0
1321	1321_BED-Amazon_n156_m197_bt28	156	197	0
1322	1322_BED-Amazon_n173_m256_bt32	173	256	0
1323	1323_BED-Amazon_n148_m287_bt31	148	287	0
1324	1324_BED-Amazon_n154_m247_bt37	154	247	0
1325	1325_BED-Amazon_n172_m280_bt30	172	280	0
1326	1326_BED-Amazon_n116_m191_bt31	116	191	0
1327	1327_BED-Amazon_n144_m214_bt35	144	214	0
1328	1328_BED-Amazon_n138_m219_bt27	138	219	0
1329	1329_BED-Amazon_n171_m219_bt34	171	219	0
1330	1330_BED-Amazon_n171_m289_bt31	171	289	0
1331	1331_BED-Amazon_n147_m230_bt28	147	230	0
1332	1332_BED-Amazon_n99_m191_bt32	99	191	0
1333	1333_BED-Amazon_n139_m264_bt31	139	264	0
1334	1334_BED-Amazon_n93_m274_bt40	93	274	0
1335	1335_BED-Amazon_n168_m230_bt31	168	230	0
1336	1336_BED-Amazon_n104_m217_bt29	104	217	0
1337	1337_BED-Amazon_n157_m291_bt34	157	291	0
1338	1338_BED-Amazon_n176_m260_bt31	176	260	0
1339	1339_BED-Amazon_n155_m276_bt39	155	276	0
1340	1340_BED-Amazon_n101_m246_bt36	101	246	0
1341	1341_BED-Amazon_n92_m209_bt35	92	209	0
1342	1342_BED-Amazon_n98_m184_bt36	98	184	0
1343	1343_BED-Amazon_n110_m227_bt33	110	227	0
1344	1344_BED-Amazon_n159_m266_bt29	159	266	0
1345	1345_BED-Amazon_n179_m247_bt31	179	247	0
1346	1346_BED-Amazon_n66_m248_bt35	66	248	0
1347	1347_BED-Amazon_n111_m236_bt32	111	236	0
1348	1348_BED-Amazon_n202_m272_bt34	202	272	0
1349	1349_BED-Amazon_n114_m225_bt31	114	225	0
1350	1350_BED-Amazon_n118_m247_bt28	118	247	0
1351	1351_BED-Amazon_n153_m210_bt25	153	210	0
1352	1352_BED-Amazon_n161_m260_bt33	161	260	0
1353	1353_BED-Amazon_n103_m247_bt34	103	247	0
1354	1354_BED-Amazon_n205_m270_bt34	205	270	0
1355	1355_BED-Amazon_n100_m212_bt29	100	212	0
1356	1356_BED-Amazon_n192_m272_bt26	192	272	0
1357	1357_BED-Amazon_n157_m266_bt33	157	266	0
1358	1358_BED-Amazon_n102_m230_bt42	102	230	0
1359	1359_BED-Amazon_n152_m241_bt24	152	241	0
1360	1360_BED-Amazon_n165_m215_bt32	165	215	0
1361	1361_BED-Amazon_n108_m273_bt26	108	273	0
1362	1362_BED-Amazon_n153_m292_bt35	153	292	0
1363	1363_BED-Amazon_n153_m229_bt29	153	229	0
1364	1364_BED-Amazon_n182_m266_bt39	182	266	0
1365	1365_BED-Amazon_n172_m225_bt43	172	225	0
1366	1366_BED-Amazon_n27_m176_bt27	27	176	0
1367	1367_BED-Amazon_n151_m265_bt40	151	265	0
1368	1368_BED-Amazon_n109_m205_bt32	109	205	0
1369	1369_BED-Amazon_n136_m254_bt41	136	254	0
1370	1370_BED-Amazon_n106_m172_bt23	106	172	0
1371	1371_BED-Amazon_n151_m229_bt31	151	229	0
1372	1372_BED-Amazon_n168_m264_bt26	168	264	0
1373	1373_BED-Amazon_n127_m230_bt31	127	230	0
1374	1374_BED-Amazon_n145_m226_bt32	145	226	0
1375	1375_BED-Amazon_n156_m254_bt31	156	254	0
1376	1376_BED-Amazon_n161_m258_bt40	161	258	0
1377	1377_BED-Amazon_n128_m261_bt34	128	261	0
1378	1378_BED-Amazon_n110_m226_bt33	110	226	0
1379	1379_BED-Amazon_n133_m194_bt33	133	194	0
1380	1380_BED-Amazon_n180_m259_bt30	180	259	0
1381	1381_BED-Amazon_n166_m291_bt31	166	291	0
1382	1382_BED-Amazon_n152_m298_bt31	152	298	0
1383	1383_BED-Amazon_n18_m176_bt26	18	176	0
1384	1384_BED-Amazon_n147_m287_bt34	147	287	0
1385	1385_BED-Amazon_n127_m235_bt30	127	235	0
1386	1386_BED-Amazon_n101_m295_bt34	101	295	0
1387	1387_BED-Amazon_n171_m247_bt29	171	247	0
1388	1388_BED-Amazon_n174_m259_bt24	174	259	0
1389	1389_BED-Amazon_n157_m240_bt36	157	240	0
1390	1390_BED-Amazon_n189_m273_bt46	189	273	0
1391	1391_BED-Amazon_n148_m232_bt32	148	232	0
1392	1392_BED-Amazon_n158_m289_bt32	158	289	0
1393	1393_BED-Amazon_n168_m247_bt31	168	247	0
1394	1394_BED-Amazon_n201_m296_bt31	201	296	0
1395	1395_BED-Amazon_n165_m268_bt33	165	268	0
1396	1396_BED-Amazon_n168_m278_bt32	168	278	0
1397	1397_BED-Amazon_n196_m271_bt36	196	271	0
1398	1398_BED-Amazon_n198_m295_bt33	198	295	0
1399	1399_BED-Amazon_n122_m267_bt37	122	267	0
1400	1400_BED-Amazon_n197_m268_bt32	197	268	0
1401	1401_BED-Amazon_n122_m196_bt26	122	196	0
1402	1402_BED-Amazon_n131_m226_bt29	131	226	0
1403	1403_BED-Amazon_n112_m214_bt36	112	214	0
1404	1404_BED-Amazon_n166_m257_bt32	166	257	0
1405	1405_BED-Amazon_n161_m274_bt29	161	274	0
1406	1406_BED-Amazon_n94_m207_bt33	94	207	0
1407	1407_BED-Amazon_n124_m222_bt32	124	222	0
1408	1408_BED-Amazon_n158_m215_bt35	158	215	0
1409	1409_BED-Amazon_n155_m181_bt23	155	181	0
1410	1410_BED-Amazon_n114_m238_bt25	114	238	0
1411	1411_BED-Amazon_n189_m274_bt25	189	274	0
1412	1412_BED-Amazon_n141_m191_bt31	141	191	0
1413	1413_BED-Amazon_n144_m252_bt29	144	252	0
1414	1414_BED-Amazon_n173_m276_bt37	173	276	0
1415	1415_BED-Amazon_n157_m219_bt29	157	219	0
1416	1416_BED-Amazon_n163_m253_bt30	163	253	0
1417	1417_BED-Amazon_n198_m266_bt29	198	266	0
1418	1418_BED-Amazon_n117_m255_bt27	117	255	0
1419	1419_BED-Amazon_n168_m285_bt25	168	285	0
1420	1420_BED-Amazon_n79_m180_bt24	79	180	0
1421	1421_BED-Amazon_n127_m160_bt28	127	160	0
1422	1422_BED-Amazon_n158_m231_bt35	158	231	0
1423	1423_BED-Amazon_n194_m281_bt31	194	281	0
1424	1424_BED-Amazon_n84_m181_bt28	84	181	0
1425	1425_BED-Amazon_n135_m237_bt38	135	237	0
1426	1426_BED-Amazon_n172_m292_bt29	172	292	0
1427	1427_BED-Amazon_n153_m270_bt35	153	270	0
